week,collected_date,environmental_location,microcystin,x16s,mcy_a_m,mcy_a_p,mcy_a_a,doc_ppm,tkp_mg_p_l,tkn_mg_n_l,cl_mg_cl_l,p_h,mcya_16s,category_d,category_d_ahead,ortho_p_mg_p_l,month(collected_date)
9,2018-07-18,Nine Eagles Beach,0.517,3900000,0,0,0,5.773,0.95254068716094,0.116,0.997,8.5,0,1,1,0.268777777777778,7
7,2018-07-03,Nine Eagles Beach,0.512,2180000,0,0,0,6.345,1.239,0.506,0.809,8.72,0,1,1,0.268777777777778,7
15,2018-08-29,Nine Eagles Beach,0.498,440000,0,0,0,6.235,1.021,0.104,1.96,8.36,0,1,1,0.005625,8
1,2018-05-23,Nine Eagles Beach,0.483,522000,0,0,0,5.884,1.245,0.395,1.688,8.3,0,1,1,5e-04,5
11,2018-08-01,Nine Eagles Beach,0.442,6140000,549,0,0,6.485,0.192,0.141,-2.895,8.85,8.9413680781759e-05,1,1,0.005625,8
2,2018-05-30,Nine Eagles Beach,0.317,645000,0,0,0,6.722,1.376,0.441,1.385,8.4,0,1,1,5e-04,5
5,2018-06-20,Nine Eagles Beach,0.287,3150000,2320,0,0,5.458,1.007,0.364,1.221,8.3,0.000736507936507936,1,1,0.00633333333333333,6
3,2018-06-06,Nine Eagles Beach,0.181,6520000,0,0,0,6.608,1.714,0.172,1.456,8.9,0,1,1,0.00633333333333333,6
4,2018-06-13,Nine Eagles Beach,0.093,4350000,1860,0,0,13.76,1.387,0.327,1.671,9.13,0.000427586206896552,1,NA,0.00633333333333333,6
10,2018-07-24,North Twin Lake East Beach,1.892,2080000,12300,0,0,7.1,0.019,0.205,30.075,8.4,0.00591346153846154,1,1,0.0328888888888889,7
5,2018-06-19,North Twin Lake East Beach,1.84,2180000,14900,0,0,5.3,0.992,0.672,26.296,7.81,0.0068348623853211,1,1,0.00416666666666667,6
9,2018-07-17,North Twin Lake East Beach,1.77,2670000,23200,0,0,5.53,1.80345388788427,0.165,19.794,8.6,0.00868913857677903,1,1,0.0328888888888889,7
8,2018-07-10,North Twin Lake East Beach,1.707,1870000,8580,0,0,6.997,1.035,0.602,25.188,8.4,0.00458823529411765,1,1,0.0328888888888889,7
11,2018-07-31,North Twin Lake East Beach,1.65,1450000,0,0,0,7.759,0.238,0.249,14.673,9.09,0,1,1,0.0328888888888889,7
4,2018-06-12,North Twin Lake East Beach,1.538,2890000,33600,0,0,5.81,1.111,0.666,28.057,8.1,0.0116262975778547,1,1,0.00416666666666667,6
7,2018-07-02,North Twin Lake East Beach,1.51,1360000,4970,0,0,6.015,1.047,0.56,24.655,8.3,0.00365441176470588,1,1,0.0328888888888889,7
6,2018-06-26,North Twin Lake East Beach,1.415,1630000,10500,0,0,4.145,1.259,0.438,10.56,8.03,0.00644171779141104,1,1,0.00416666666666667,6
13,2018-08-14,North Twin Lake East Beach,1.3,7740000,40400,0,0,6.454,1.091,0.307,24.404,8.7,0.00521963824289406,1,1,0.036875,8
12,2018-08-07,North Twin Lake East Beach,1.148,8400000,40800,0,0,6.874,0.789,-0.19,18.861,9.01,0.00485714285714286,1,1,0.036875,8
15,2018-08-27,North Twin Lake East Beach,1.098,4260000,43100,0,0,3.221,1.001,0.117,21.993,8.4,0.0101173708920188,1,1,0.036875,8
3,2018-06-05,North Twin Lake East Beach,0.807,1500000,3740,0,0,7.272,1.331,0.647,29.203,8.2,0.00249333333333333,1,1,0.00416666666666667,6
14,2018-08-20,North Twin Lake East Beach,0.67,4300000,16100,0,0,7.896,1.027,0.179,23.779,8.5,0.00374418604651163,1,1,0.036875,8
1,2018-05-22,North Twin Lake East Beach,0.61,791000,1620,0,0,6.911,1.333,0.688,30.301,8.4,0.0020480404551201,1,1,0,5
2,2018-05-29,North Twin Lake East Beach,0.543,835000,2210,0,0,8.083,1.247,0.775,27.548,8,0.00264670658682635,1,NA,0,5
9,2018-07-17,North Twin Lake West Beach,2.87,1800000,20000,0,0,5.541,1.96943942133816,0.176,20.457,8.6,0.0111111111111111,1,1,0.0473222222222222,7
8,2018-07-10,North Twin Lake West Beach,2.21,1140000,13700,0,0,7.439,1.206,0.642,25.629,8.5,0.0120175438596491,1,1,0.0473222222222222,7
10,2018-07-24,North Twin Lake West Beach,2.188,3e+06,16500,0,0,7.287,-0.003,0.233,30.221,8.4,0.0055,1,1,0.0473222222222222,7
6,2018-06-26,North Twin Lake West Beach,1.725,3260000,18600,0,0,4.848,1.257,0.468,25.478,8.35,0.00570552147239264,1,1,0.00466666666666667,6
13,2018-08-14,North Twin Lake West Beach,1.617,7720000,61800,0,0,6.524,1.004,0.334,24.301,8.6,0.00800518134715026,1,1,0.23625,8
5,2018-06-19,North Twin Lake West Beach,1.6,2570000,13200,0,0,5.185,0.953,0.661,26.071,7.08,0.00513618677042802,1,1,0.00466666666666667,6
12,2018-08-07,North Twin Lake West Beach,1.525,6330000,30800,0,0,6.953,0.735,-0.004,18.487,8.09,0.00486571879936809,1,1,0.23625,8
7,2018-07-02,North Twin Lake West Beach,1.43,1310000,4350,0,0,5.98,1.159,0.466,25.087,8.4,0.0033206106870229,1,1,0.0473222222222222,7
15,2018-08-27,North Twin Lake West Beach,1.115,5070000,46700,0,0,7.087,1.032,0.12,23.666,8.5,0.00921104536489152,1,1,0.23625,8
11,2018-07-31,North Twin Lake West Beach,0.793,3070000,12400,0,0,6.795,0.455,0.342,16.34,8.7,0.00403908794788274,1,1,0.0473222222222222,7
14,2018-08-20,North Twin Lake West Beach,0.748,2540000,9740,0,0,7.602,1.115,0.166,23.718,8.6,0.00383464566929134,1,1,0.23625,8
3,2018-06-05,North Twin Lake West Beach,0.621,2080000,5510,0,0,7.673,1.334,0.699,29.753,8.2,0.00264903846153846,1,1,0.00466666666666667,6
4,2018-06-12,North Twin Lake West Beach,0.587,2090000,14700,0,0,5.796,1.134,0.779,28.455,8.3,0.00703349282296651,1,1,0.00466666666666667,6
1,2018-05-22,North Twin Lake West Beach,0.52,771000,7690,0,0,6.918,1.251,0.663,29.231,8.4,0.00997405966277562,1,1,5e-04,5
2,2018-05-29,North Twin Lake West Beach,0.425,1110000,2030,0,0,8.346,1.263,0.85,27.439,8,0.00182882882882883,1,NA,5e-04,5
8,2018-07-11,Pike's Point Beach,2.237,4980000,25000,0,0,5.867,1.197,0.576,15.999,8.4,0.00502008032128514,1,1,0.123555555555556,7
13,2018-08-15,Pike's Point Beach,1.125,20900000,48300,0,0,5.201,1.021,0.329,23.427,8.2,0.002311004784689,1,1,0.103,8
12,2018-08-08,Pike's Point Beach,0.925,10500000,113000,0,0,5.172,0.74,-0.176,16.331,8.86,0.0107619047619048,1,1,0.103,8
10,2018-07-25,Pike's Point Beach,0.92,7110000,41100,0,0,6.015,0.064,0.162,24.24,8.3,0.00578059071729958,1,1,0.123555555555556,7
15,2018-08-27,Pike's Point Beach,0.825,12500000,35700,0,0,5.657,1.145,0.029,24.384,8.3,0.002856,1,1,0.103,8
1,2018-05-23,Pike's Point Beach,0.655,1040000,0,0,0,5.435,1.261,0.476,25.423,8.1,0,1,1,0.0035,5
6,2018-06-27,Pike's Point Beach,0.65,5130000,31900,0,0,4.306,1.306,0.399,24.079,8.31,0.00621832358674464,1,1,0.00316666666666667,6
14,2018-08-20,Pike's Point Beach,0.515,11800000,41200,0,0,6.119,1.13,0.193,24.605,8.3,0.00349152542372881,1,1,0.103,8
11,2018-08-01,Pike's Point Beach,0.407,12600000,66600,0,0,6.357,0.082,0.201,10.783,8.6,0.00528571428571429,1,1,0.103,8
2,2018-05-30,Pike's Point Beach,0.37,1180000,0,0,0,5.529,1.31,0.449,23.643,8,0,1,1,0.0035,5
5,2018-06-20,Pike's Point Beach,0.315,5590000,843,0,0,4.796,0.992,0.467,24.372,7.98,0.000150805008944544,1,1,0.00316666666666667,6
9,2018-07-18,Pike's Point Beach,0.27,7590000,35600,0,0,4.839,0.866826401446655,0.129,23.738,8.5,0.00469038208168643,1,1,0.123555555555556,7
3,2018-06-06,Pike's Point Beach,0.209,4640000,9730,0,0,5.321,1.693,0.189,24.543,8.3,0.00209698275862069,1,1,0.00316666666666667,6
4,2018-06-13,Pike's Point Beach,0.17,319,0,0,0,4.864,1.445,0.497,25.317,8.3,0,1,1,0.00316666666666667,6
7,2018-07-03,Pike's Point Beach,0,3850000,12100,0,0,5.936,1.162,0.52,22.51,8.2,0.00314285714285714,1,NA,0.123555555555556,7
9,2018-07-17,Prairie Rose Beach,3.313,2440000,60200,0,0,6.332,1.31453887884268,0.193,9.166,8.5,0.024672131147541,1,1,0.294933333333333,7
8,2018-07-10,Prairie Rose Beach,2.432,1750000,45500,0,0,5.261,1.2,0.493,13.589,8.24,0.026,1,1,0.294933333333333,7
15,2018-08-28,Prairie Rose Beach,2.243,0,0,0,0,6.005,1.147,-0.069,12.79,8.9,0.0163147980388461,1,1,0.025375,8
10,2018-07-24,Prairie Rose Beach,1.178,2750000,12300,0,0,5.083,0.098,0.223,11.591,8.9,0.00447272727272727,1,1,0.294933333333333,7
12,2018-08-07,Prairie Rose Beach,1.145,5230000,211000,0,0,5.786,0.774,-0.21,10.316,9.36,0.0403441682600382,1,1,0.025375,8
11,2018-07-31,Prairie Rose Beach,0.725,3450000,13000,0,0,6.433,0.178,0.214,5.238,9.49,0.00376811594202899,1,1,0.294933333333333,7
13,2018-08-14,Prairie Rose Beach,0.717,5280000,5420,0,0,5.603,1.172,0.303,13.749,9.11,0.00102651515151515,1,1,0.025375,8
14,2018-08-21,Prairie Rose Beach,0.66,1.5e+07,9160,0,0,5.259,1.16,0.237,13.922,7.69,0.000610666666666667,1,1,0.025375,8
5,2018-06-19,Prairie Rose Beach,0.493,88000,0,0,0,4.008,0.977,0.586,13.029,8.5,0,1,1,0.0074,6
2,2018-05-29,Prairie Rose Beach,0.418,1120000,1820,0,0,5.39,1.276,0.462,12.724,8.4,0.001625,1,1,0,5
6,2018-06-26,Prairie Rose Beach,0.375,2120000,5490,0,0,3.867,1.074,0.397,12.898,8.4,0.00258962264150943,1,1,0.0074,6
1,2018-05-22,Prairie Rose Beach,0.24,1090000,4450,0,0,5.465,1.432,0.561,14.801,8.4,0.00408256880733945,1,1,0,5
3,2018-06-05,Prairie Rose Beach,0.184,1710000,5340,0,0,4.679,1.319,0.403,13.425,8.4,0.00312280701754386,1,1,0.0074,6
4,2018-06-12,Prairie Rose Beach,0.097,2560000,2770,0,0,4.101,1.165,0.468,13.23,8.9,0.00108203125,1,1,0.0074,6
7,2018-07-02,Prairie Rose Beach,0,2940000,16100,0,0,4.58,1.193,0.59,10.403,8.72,0.00547619047619048,1,NA,0.294933333333333,7
10,2018-07-25,Red Haw Beach,1.283,4160000,0,0,0,9.149,-0.092,-0.017,6.744,8,0,1,1,0.131666666666667,7
5,2018-06-20,Red Haw Beach,1.222,3010000,799,0,0,6.925,1.008,0.28,5.675,8,0.000265448504983389,1,1,0.00216666666666667,6
12,2018-08-08,Red Haw Beach,1.03,15400000,0,0,0,7.515,0.788,-0.225,3.853,8.29,0,1,1,0.0895,8
9,2018-07-18,Red Haw Beach,0.93,733000,0,0,0,7.075,0.889421338155515,0.15,6.092,8.3,0,1,1,0.131666666666667,7
13,2018-08-15,Red Haw Beach,0.863,18700000,0,0,0,4.284,1.174,0.368,14.961,7.84,0,1,1,0.0895,8
6,2018-06-27,Red Haw Beach,0.817,1390000,336,0,0,6.597,1.263,0.362,5.721,7.9,0.000241726618705036,1,1,0.00216666666666667,6
15,2018-08-29,Red Haw Beach,0.805,270000,0,0,0,7.8,1.058,0.093,6.171,7.53,0,1,1,0.0895,8
14,2018-08-22,Red Haw Beach,0.695,24100000,0,0,0,8.623,1.186,0.08,7.995,7.64,0,1,1,0.0895,8
11,2018-08-01,Red Haw Beach,0.695,6400000,143,0,0,9.093,0.107,0.138,-0.281,8.5,2.234375e-05,1,1,0.0895,8
2,2018-05-30,Red Haw Beach,0.507,929000,0,0,0,8.831,1.212,0.449,5.498,7.8,0,1,1,0.012,5
1,2018-05-23,Red Haw Beach,0.433,1640000,0,0,0,7.642,1.173,0.444,5.777,7.9,0,1,1,0.012,5
3,2018-06-06,Red Haw Beach,0.384,5790000,668,0,0,8.362,1.852,0.345,15.926,8.13,0.000115371329879102,1,1,0.00216666666666667,6
7,2018-07-03,Red Haw Beach,0.278,1030000,0,0,0,7.465,1.087,0.396,4.908,7.82,0,1,1,0.131666666666667,7
8,2018-07-11,Red Haw Beach,0.23,466000,0,0,0,8.238,1.176,0.607,-8.658,7.83,0,1,1,0.131666666666667,7
4,2018-06-13,Red Haw Beach,0.145,1180000,286,0,0,7.151,1.422,0.486,5.798,8.9,0.000242372881355932,1,NA,0.00216666666666667,6
10,2018-07-25,Rock Creek Beach,4.403,12900000,38100,0,0,4.744,0.083,0.061,14.103,7.93,0.00295348837209302,1,1,0.02288,7
8,2018-07-11,Rock Creek Beach,2.115,2120000,1180,0,0,3.954,1.202,0.474,2.582,8.22,0.000556603773584906,1,1,0.02288,7
9,2018-07-18,Rock Creek Beach,1.673,10600000,9980,0,0,3.807,0.89122965641953,0.179,13.743,8.68,0.000941509433962264,1,1,0.02288,7
11,2018-08-01,Rock Creek Beach,1.455,1.41e+08,646000,0,0,8.158,0.087,0.195,3.783,8.4,0.00458156028368794,1,1,0.0535,8
12,2018-08-08,Rock Creek Beach,1.265,1.47e+08,639000,0,0,4.592,0.741,-0.156,9.301,8.3,0.0043469387755102,1,1,0.0535,8
13,2018-08-15,Rock Creek Beach,1.263,2.1e+07,116000,0,0,4.075,1.17,0.241,13.603,8.7,0.00552380952380952,1,1,0.0535,8
15,2018-08-29,Rock Creek Beach,0.938,0,0,0,0,4.376,0.995,0.164,14.115,8.4,0.0139848894045501,1,1,0.0535,8
14,2018-08-22,Rock Creek Beach,0.767,27100000,66200,0,0,4.797,1.094,0.249,15.069,8.1,0.00244280442804428,1,1,0.0535,8
6,2018-06-27,Rock Creek Beach,0.66,8280000,5890,0,0,3.064,1.233,0.374,13.968,8.4,0.000711352657004831,1,1,0.0146,6
5,2018-06-20,Rock Creek Beach,0.423,6270000,5800,0,0,3.312,1.15,0.485,14.647,8.3,0.000925039872408294,1,1,0.0146,6
1,2018-05-23,Rock Creek Beach,0.235,1620000,0,0,0,5.117,1.224,0.943,15.368,8.2,0,1,1,0.0015,5
2,2018-05-30,Rock Creek Beach,0.183,4e+06,682,0,0,4.706,1.328,0.482,16.452,8.7,0.0001705,1,1,0.0015,5
7,2018-07-03,Rock Creek Beach,0.162,3420000,3850,0,0,3.774,1.122,0.437,12.671,8.2,0.00112573099415205,1,1,0.02288,7
4,2018-06-13,Rock Creek Beach,0,5390000,2860,0,0,3.718,1.587,0.45,15.422,8.1,0.000530612244897959,1,1,0.0146,6
3,2018-06-06,Rock Creek Beach,0,8470000,3020,0,0,4.492,1.814,0.274,14.992,7.9,0.00035655253837072,1,NA,0.0146,6
6,2018-06-26,Springbrook Beach,0.87,5760000,1520,0,0,3.378,1.22,0.426,31.316,8.4,0.000263888888888889,1,1,0.0036,6
15,2018-08-28,Springbrook Beach,0.793,0,0,0,0,3.315,1.036,0.107,7.929,8.5,0.0197456737603457,1,1,0.0145,8
10,2018-07-24,Springbrook Beach,0.762,3090000,7760,0,0,3.706,0.038,0.2,13.427,8.4,0.00251132686084142,1,1,0.05465,7
9,2018-07-17,Springbrook Beach,0.735,4480000,11100,0,0,2.816,1.51594032549729,0.177,6.242,8.3,0.00247767857142857,1,1,0.05465,7
12,2018-08-07,Springbrook Beach,0.623,4790000,7490,0,0,3.333,0.79,-0.244,7.198,8.87,0.00156367432150313,1,1,0.0145,8
13,2018-08-14,Springbrook Beach,0.425,4750000,6750,0,0,3.735,1.092,0.292,8.769,9.09,0.00142105263157895,1,1,0.0145,8
11,2018-07-31,Springbrook Beach,0.373,4610000,10300,0,0,1.475,0.311,0.236,4.823,8.81,0.00223427331887202,1,1,0.05465,7
8,2018-07-10,Springbrook Beach,0.347,3280000,1050,0,0,3.483,1.093,0.48,9.096,8.1,0.000320121951219512,1,1,0.05465,7
5,2018-06-19,Springbrook Beach,0.26,0,0,0,0,2.595,0.945,0.475,8.227,8.1,0.000144412878787879,1,1,0.0036,6
2,2018-05-29,Springbrook Beach,0.237,1460000,511,0,0,3.275,1.248,0.469,8.231,8.41333333333333,0.00035,1,1,0.002,5
3,2018-06-05,Springbrook Beach,0.221,1320000,579,0,0,2.86,1.302,0.366,8.413,8.1,0.000438636363636364,1,1,0.0036,6
7,2018-07-02,Springbrook Beach,0.032,2230000,495,0,0,3.629,1.149,0.54,6.875,8.5,0.000221973094170404,1,1,0.05465,7
1,2018-05-22,Springbrook Beach,0.02,306000,0,0,0,3.917,1.592,0.471,8.915,8.3,0,1,1,0.002,5
14,2018-08-21,Springbrook Beach,0.005,6710000,25300,0,0,3.289,1.076,0.196,9.152,8.26,0.00377049180327869,1,1,0.0145,8
4,2018-06-12,Springbrook Beach,0,10800000,4890,0,0,2.515,1.094,0.621,8.362,8.8,0.000452777777777778,1,NA,0.0036,6
10,2018-07-25,Triboji Beach,1.22,163000,0,0,0,6.284,0.008,0.136,23.698,8.3,0,1,1,0.0493333333333333,7
5,2018-06-20,Triboji Beach,0.98,6750000,1880,0,0,5.034,0.964,0.328,24.705,7.94,0.000278518518518518,1,1,0.0035,6
9,2018-07-18,Triboji Beach,0.78,1.2e+07,28700,0,0,5.131,0.969927667269439,0.233,22.407,8.2,0.00239166666666667,1,1,0.0493333333333333,7
12,2018-08-08,Triboji Beach,0.61,13900000,82100,0,0,5.295,0.72,-0.215,16.589,8.7,0.00590647482014389,1,1,0.013875,8
14,2018-08-20,Triboji Beach,0.558,16100000,11500,0,0,6.267,1.091,0.151,24.894,8.2,0.000714285714285714,1,1,0.013875,8
6,2018-06-27,Triboji Beach,0.558,7420000,4100,0,0,4.209,1.259,0.331,23.336,8.08,0.00055256064690027,1,1,0.0035,6
11,2018-08-01,Triboji Beach,0.54,17200000,43000,0,0,5.694,0.095,0.163,10.469,8.7,0.0025,1,1,0.013875,8
15,2018-08-27,Triboji Beach,0.442,10400000,21200,0,0,5.404,0.963,-0.003,24.23,8.2,0.00203846153846154,1,1,0.013875,8
13,2018-08-15,Triboji Beach,0.33,18600000,19200,0,0,5.256,1.117,0.283,23.648,8.3,0.00103225806451613,1,1,0.013875,8
2,2018-05-30,Triboji Beach,0.285,496000,638,0,0,5.579,1.238,0.454,23.793,8.1,0.00128629032258065,1,1,0.001,5
1,2018-05-23,Triboji Beach,0.25,3910000,456,0,0,23.37,1.214,0.499,25.445,8,0.000116624040920716,1,1,0.001,5
3,2018-06-06,Triboji Beach,0.146,3970000,1120,0,0,5.634,1.839,0.154,24.654,8.3,0.000282115869017632,1,1,0.0035,6
8,2018-07-11,Triboji Beach,0.055,5600000,20300,0,0,5.895,1.253,0.44,13.792,8.4,0.003625,1,1,0.0493333333333333,7
4,2018-06-13,Triboji Beach,0.025,0,0,0,0,5,1.497,0.413,24.762,8.3,0.0076589042974115,1,1,0.0035,6
7,2018-07-03,Triboji Beach,0,5890000,8550,0,0,5.773,1.264,0.593,22.382,8.1,0.00145161290322581,1,NA,0.0493333333333333,7
15,2018-08-28,Union Grove Beach,5.918,0,0,0,0,4.506,1.096,0.145,13.394,8.7,0.13936309855765,1,1,0.036625,8
12,2018-08-07,Union Grove Beach,4.967,1280000,0,0,0,4.834,0.765,-0.24,10.069,9.1,0,1,1,0.036625,8
11,2018-07-31,Union Grove Beach,3.678,12700000,95800,0,0,6.01,0.064,0.242,4.6,9.1,0.00754330708661417,1,1,0.0719,7
10,2018-07-24,Union Grove Beach,1.94,7630000,98200,0,0,4.497,0.027,0.377,15.219,9.3,0.012870249017038,1,1,0.0719,7
3,2018-06-05,Union Grove Beach,1.836,977000,7670,0,0,4.358,1.347,0.378,14.075,8.34,0.00785056294779939,1,1,0.0612,6
14,2018-08-21,Union Grove Beach,1.817,53700000,195000,16700,0,4.511,1.109,0.172,14.4415,8.9,0.00363128491620112,1,1,0.036625,8
13,2018-08-14,Union Grove Beach,1.743,29400000,145000,28700,0,4.14,1.066,0.309,12.758,9.1,0.00493197278911565,1,1,0.036625,8
9,2018-07-17,Union Grove Beach,1.523,3690000,20000,0,0,4.332,1.21947558770344,0.196,9.775,8.06,0.00542005420054201,1,1,0.0719,7
5,2018-06-19,Union Grove Beach,0.913,5130000,105000,0,0,3.304,0.994,0.468,13.745,8.8,0.0204678362573099,1,1,0.0612,6
6,2018-06-26,Union Grove Beach,0.865,3330000,44600,0,0,3.313,1.234,0.537,13.483,7.8,0.0133933933933934,1,1,0.0612,6
7,2018-07-02,Union Grove Beach,0.445,1790000,10300,0,0,4.082,1.164,0.512,11.341,8.5,0.00575418994413408,1,1,0.0719,7
1,2018-05-22,Union Grove Beach,0.335,1150000,4380,0,0,4.901,1.271,0.48,13.1883333333333,8.6,0.00380869565217391,1,1,0.002,5
2,2018-05-29,Union Grove Beach,0.213,1230000,6780,0,0,4.173,1.253,0.44,13.78,8.44,0.00551219512195122,1,1,0.002,5
4,2018-06-12,Union Grove Beach,0.117,2160000,9190,0,0,4.481,1.183,0.56,14.373,7.92,0.00425462962962963,1,1,0.0612,6
8,2018-07-10,Union Grove Beach,0.047,2560000,2200,0,0,4.59,1.139,0.614,14.504,9,0.000859375,1,NA,0.0719,7
14,2018-08-20,Viking Lake Beach,20,13400000,17600,0,0,12.28,1.1,0.183,8.821,8.6,0.0013134328358209,3,3,0.00625,8
13,2018-08-14,Viking Lake Beach,20,2210000,68300,0,0,9.206,1.073,0.302,8.967,9.1,0.0309049773755656,3,3,0.00625,8
12,2018-08-07,Viking Lake Beach,20,7160000,194000,0,0,7.771,0.682,-0.182,8.04,8.7,0.0270949720670391,3,3,0.00625,8
15,2018-08-27,Viking Lake Beach,38.96,8050000,484000,0,0,9.255,0.985,0.139,9.6,8.2,0.0601242236024845,3,3,0.00625,8
11,2018-07-31,Viking Lake Beach,14.395,1640000,57900,0,0,8.0985,0.181,0.256,4.963,8.7,0.0353048780487805,3,3,0.03375,7
10,2018-07-24,Viking Lake Beach,10.927,2970000,40300,0,0,8.224,0.069,0.198,12.726,8.35,0.0135690235690236,3,3,0.03375,7
8,2018-07-10,Viking Lake Beach,8.8055,1680000,25400,0,0,7.937,1.226,0.455,8.738,8,0.0151190476190476,3,1,0.03375,7
7,2018-07-02,Viking Lake Beach,6.03,1790000,16700,0,0,7.191,1.206,0.503,6.704,8.4,0.00932960893854749,1,1,0.03375,7
9,2018-07-17,Viking Lake Beach,4.517,1570000,28900,0,0,6.608,1.65551537070524,0.148,5.816,8.44,0.0184076433121019,1,1,0.03375,7
6,2018-06-26,Viking Lake Beach,2.45,3860000,14400,24100,0,5.754,1.125,0.281,8.431,8.6,0.00373056994818653,1,1,0.004,6
4,2018-06-12,Viking Lake Beach,1.557,4140000,20900,20000,0,6.215,1.123,0.539,8.407,8.4,0.00504830917874396,1,1,0.004,6
5,2018-06-19,Viking Lake Beach,1.535,2930000,15900,13000,0,5.836,0.978,0.473,8.264,8.4,0.00542662116040956,1,1,0.004,6
1,2018-05-22,Viking Lake Beach,1.087,390000,1010,0,0,8.263,1.289,0.503,9.203,8.4,0.00258974358974359,1,1,5e-04,5
2,2018-05-29,Viking Lake Beach,0.458,595000,424,0,0,8.31,1.228,0.479,8.119,8.5,0.000712605042016807,1,1,5e-04,5
3,2018-06-05,Viking Lake Beach,0.369,1640000,2490,0,0,7.253,1.24,0.4,8.562,8,0.00151829268292683,1,NA,0.004,6
6,2019-06-25,Backbone Beach,0,19465141.5427225,0,0,0,3.899,0.473,0.18,16.994,7.7,0,1,1,0.065,6
7,2019-07-01,Backbone Beach,0,4278450.81688752,0,0,0,4.689,0.023,0.282,16.738,7.81,0,1,1,0.034,7
8,2019-07-09,Backbone Beach,0.23,610231.468954832,0,0,0,3.886,0.056,0.346,16.352,8.13,0,1,1,0.0401,7
9,2019-07-16,Backbone Beach,0.743,5582700.9734124,0,0,0,3.824,-0.005,0.365,14.867,8.19,0,1,1,0.023,7
10,2019-07-23,Backbone Beach,0.038,10103847.9975808,0,0,0,2.248,0.287,0.858,15.754,8.06,0,1,1,0.081,7
11,2019-07-30,Backbone Beach,0.105,2804880.53067952,0,0,0,4.07,0.199,1.178,13.677,8.03,0,1,1,0.22,7
12,2019-08-06,Backbone Beach,0.343,11888871.8251211,0,0,0,3.831,0.043,0.781,13.878,8.19,0,1,1,0.05,8
14,2019-08-20,Backbone Beach,0.085,383472.021608955,0,0,0,3.865,0.033,0.534,12.925,7.57,0,1,1,0.038,8
15,2019-08-27,Backbone Beach,0,4152121.40274305,0,0,0,1.958,-0.04,2.089,15.569,7.57,0,1,1,0.046,8
13,2019-08-13,Backbone Beach,0,1256322.45619491,0,0,0,3.075,0.058,1.593,12.915,7.71,0,1,NA,0.029,8
6,2019-06-25,Beed's Lake Beach,0,2425661.67527123,0,0,0,4.328,0.155,0.2,12.829,8.2,0,1,1,0.041,6
7,2019-07-01,Beed's Lake Beach,0,5709451.02951307,0,0,0,4.198,-0.003,0.318,12.559,8.2,0,1,1,0.009,7
8,2019-07-09,Beed's Lake Beach,0,322347.743400761,0,0,0,4.914,0.013,0.613,12.748,7.96,0,1,1,0.0382,7
9,2019-07-16,Beed's Lake Beach,0.83,5932539.75092869,0,0,0,5.198,0.383,0.759,12.05,8.1,0,1,1,0.022,7
10,2019-07-23,Beed's Lake Beach,0,18012339.6769995,0,0,0,5.482,0.453,2.212,13.099,8.07,0,1,1,0.035,7
11,2019-07-30,Beed's Lake Beach,0.11,2422437.82799603,233737.181141221,0,0,5.454,0.187,1.268,12.089,8.17,0.0964884128046254,1,1,0.36,7
12,2019-08-06,Beed's Lake Beach,1.11,1309742.3811016,118963.904511643,0,0,6.175,0.184,1.592,11.873,8.28,0.0908300030816631,1,1,0.043,8
14,2019-08-20,Beed's Lake Beach,1.455,1151816.39182251,0,0,0,3.884,0.76,3.152,11.789,8.31,0,1,1,0.184,8
15,2019-08-27,Beed's Lake Beach,0.845,5649934.43665028,107730.437496117,0,0,2.046,0.085,4.134,12.796,8.31,0.0190675553325513,1,3,0.065,8
13,2019-08-13,Beed's Lake Beach,53.99,4182333.27241192,2642105.13803335,0,0,8.704,1.468,7.462,12.586,8.3,0.631729937798493,3,NA,0.03,8
6,2019-06-26,Big Creek Beach,0,6269031.13938633,0,0,0,5.504,0.115,0.242,17.213,8.25,0,1,1,0.004,6
7,2019-07-02,Big Creek Beach,0,802830.523353743,0,0,0,3.488,-0.039,0.204,17.938,8.29,0,1,1,0.076,7
8,2019-07-10,Big Creek Beach,0.078,4412656.31435699,0,0,0,4.946,-0.046,0.051,17.194,8.3,0,1,1,0.031,7
9,2019-07-17,Big Creek Beach,1.505,3089205.99500248,0,0,0,3.421,-0.018,0.5,17.848,8.11,0,1,1,0.046,7
10,2019-07-24,Big Creek Beach,0,9913856.46723759,0,0,0,5.112,0.146,0.902,17.45,8.32,0,1,1,0.011,7
11,2019-07-31,Big Creek Beach,0.007,3287654.25056518,0,0,0,4.972,0.179,1.154,17.155,8.16,0,1,1,0.08,7
12,2019-08-07,Big Creek Beach,0.477,2420430.11242204,0,0,0,4.97,0.072,0.947,18.07,8.22,0,1,1,0.007,8
14,2019-08-21,Big Creek Beach,0,496034.240936077,0,0,0,7.903,0.036,1.162,17.608,8.09,0,1,1,0.016,8
15,2019-08-28,Big Creek Beach,0.03,1396781.0698339,0,0,0,3.209,-0.504,0.947,20.531,8.09,0,1,1,0.016,8
13,2019-08-14,Big Creek Beach,0.482,687844.853544096,0,0,0,4.135,0.06,1.864,18.177,7.86,0,1,NA,0.02,8
6,2019-06-25,Black Hawk Beach,1.362,6150054.15428108,924618.115740619,0,0,5.778,0.254,0.259,16.645,8.5,0.150343085206329,1,1,0.004,6
